Zomi,English,Myanmar
Zanggam ah tui tam a hi manin inn a niam kilam lo hi.,"In the plains, because of abundant water, houses are not built low.",မြေပြန့်ဒေသမှာ ရေများလို့ အိမ်တွေကို အနိမ့် မဆောက်ကြဘူး။
"Lo khote in tuk lai-in lo giok uh a, lo a hial zo uh hi.",The farmers weed during the rainy season and finish weeding the field.,တောင်သူတွေ မိုးရာသီမှာ ပေါင်းသင်ပြီး လယ်လုပ်ငန်း ပြီးစီးကြတယ်။
Singkung in hiang tampi a nei hi.,The tree has many branches.,သစ်ပင်မှာ သစ်ကိုင်း အများကြီး ရှိတယ်။
Kawlte in naidial a khim uh hi. Zomite in saihadial a khim uh hi.,Burmeses wear turbans. Zomi wear traditional turbans.,ဗမာလူမျိုးတွေက ခေါင်းပေါင်း ပေါင်းကြတယ်။ ဇိုလူမျိုးတွေက ရိုးရာခေါင်းပေါင်း ပေါင်းကြတယ်။
SINNA 16,Lesson 16,သင်ခန်းစာ ၁၆
Aklui nisim in thumvei a khuang hi.,The rooster crows three times every day.,ကြက်ဖက နေ့တိုင်း သုံးကြိမ် တွန်တယ်။
"Ka nau a gilna a, a luaksuak hi.",My younger sibling has a stomachache and feels like vomiting.,ကျွန်တော့် ညီ/ညီမ ဗိုက်နာပြီး အန်ချင်နေတယ်။
Khuakhal lai-in sa a muat baih deuh hi.,"In the dry season, meat spoils more easily.",နွေရာသီမှာ အသား ပိုအလွယ်တကူ ပုပ်သိုးတယ်။
"Ka ui in cithak vei a, a kikhuat hi.",My dog has an itch and scratches itself.,ငါ့ခွေးက ယားနာဖြစ်ပြီး သူ့ကိုယ်သူ ကုတ်နေတယ်။
Galkapte a thuang a thuangin a pai uh hi.,The soldiers march in formation.,စစ်သားတွေ တန်းစီပြီး ချီတက်ကြတယ်။
Na huan ah vaimim a gau nai hiam?,Is the corn in your garden dry yet?,မင်းရဲ့ ခြံထဲက ပြောင်းဖူးတွေ ခြောက်ပြီလား။
Khual ka zin laitak in ka lung a zuang hi.,"While traveling, I feel homesick.",ခရီးသွားနေတုန်း ငါ အိမ်လွမ်းတယ်။
"Ka neu lai-in ka nu ka muang a, ka pa ka suang hi.","When I was young, I trusted my mother and relied on my father.",ငါ ငယ်ငယ်တုန်းက ငါ့အမေကို ယုံကြည်ပြီး ငါ့အဖေကို အားကိုးခဲ့တယ်။
"Sun niloh in guah na thuak leh, na ci na-in ka um hi.","If you are in the rain all day, I think you will get sick.",တစ်နေ့လုံး မိုးမိရင် မင်း နေမကောင်းဖြစ်မယ်လို့ ငါထင်တယ်။
Ka innkuan 'n an ka nekkhit uh ciangin lo ka kuan pah uh hi.,"After my family eats, we immediately go to the field.",ငါ့မိသားစု ထမင်းစားပြီးတာနဲ့ လယ်ထဲ ချက်ချင်းသွားတယ်။
SINNA 17,Lesson 17,သင်ခန်းစာ ၁၇
Buh a kuai zo hi.,The paddy is already bent (ripe).,စပါးတွေ မှည့်ပြီး ညွတ်နေပြီ။
Ka zuau ngei kei hi.,I never lie.,ငါ ဘယ်တော့မှ လိမ်မပြောဘူး။
Mi hoihte a it huai hi.,Good people are lovable.,လူကောင်းတွေက ချစ်ဖို့ကောင်းတယ်။
Lung duaina in zawhna hi.,Patience is victory.,စိတ်ရှည်ခြင်းဟာ အောင်မြင်ခြင်းပဲ။
Ka nau luai ah ka vei hi.,I swing my younger sibling in the cradle.,ငါ့ညီ/ညီမကို ပုခက်ထဲမှာ လွှဲပေးတယ်။
Ka nu in ka pa a huau hi.,My mother supports/consoles my father.,ငါ့အမေက ငါ့အဖေကို နှစ်သိမ့်/ထောက်ပံ့ပေးတယ်။
Sia in tui tawipa a guai hi.,The teacher scolds the water carrier.,ဆရာက ရေခပ်သမားကို ဆူပူတယ်။
Inn nuai ah khuai a khawi hi.,He keeps bees under the house.,သူ အိမ်အောက်မှာ ပျားမွေးတယ်။
Khuai in kha nih a nei hi.,The bee has two wings.,ပျားမှာ အတောင်ပံ နှစ်ခု ရှိတယ်။
Zawhngeu in mi a phuai thei hi.,A cat can scratch people.,ကြောင်က လူကို ကုတ်တတ်တယ်။
NAU OIH LA,LULLABY,သားချော့တေး
"Nau aw, hong khang mengmeng aw,","Baby, grow up quickly,",ကလေးလေး၊ မြန်မြန် ကြီးပြင်းလာပါ၊
"Huan a, maidawng hong bang aw,","Like a pumpkin sprout in the garden,",ခြံထဲက ဖရုံညွန့်လေးလို၊
"Huan a maidawng bat zawh ciang,","When the pumpkin sprout reaches the fence,",ဖရုံညွန့် ခြံစည်းရိုးကို ရောက်တဲ့အခါ၊
"Nu tha dawn aw, tuai aw e.","Help your mother, little one.",အမေ့ကို ကူညီပါ၊ ကလေးလေး။
"Nu tha na dawn zawh ciangin,","After you help your mother,",အမေ့ကို ကူညီပြီးတဲ့အခါ၊
"Sak a, singkang va kuai aw.",Go and pull the dry wood above.,အပေါ်က ထင်းခြောက် သွားဆွဲပါ။
"Sak a singkang kuaih zawh ciang,","After pulling the dry wood above,",ထင်းခြောက် ဆွဲပြီးတဲ့အခါ၊
"Pa tha khek aw, nau aw e.","Take your father's place, little one.",အဖေ့နေရာကို အစားထိုးပါ၊ ကလေးလေး။
"Pa tha na khek zawh ciangin,","After you take your father's place,",အဖေ့နေရာကို အစားထိုးပြီးတဲ့အခါ၊
Utna gamah va vak aw.,Wander to the land you desire.,မင်းသွားချင်တဲ့ နေရာကို သွားပါ။
"Utna gamah vak hangin,","Even if you wander to the land you desire,",မင်းသွားချင်တဲ့ နေရာကို သွားပေမယ့်၊
Kuamah'n bangmah pia sam lo.,No one will give you anything.,ဘယ်သူမှ မင်းကို ဘာမှ ပေးမှာမဟုတ်ဘူး။
"Kuamah'n bangmah pia takeh,","Even if no one gives you anything,",ဘယ်သူမှ မင်းကို ဘာမှ မပေးပေမယ့်၊
Eima luitang san singseng.,Our own river source is bright red.,ကိုယ့်မြစ်ဖျားက ရဲရဲတောက်။
"Va en leng lah san singseng,","If we go and look, it's bright red,",သွားကြည့်ရင်လည်း ရဲရဲတောက်၊
Va la leng lah puam ilial.,"If we go and take, it's plump and soft.",သွားယူရင်လည်း ဖောင်းအိနေတယ်။
Kua ning neekin a pha hiam?,Whose food is better?,ဘယ်သူ့အစားအစာက ပိုကောင်းလဲ။
Pisei ning neek tak mawk teng.,Only the grandmother's food is good.,အဘွားရဲ့ အစားအစာကပဲ ကောင်းတယ်။
"Pisei ning neek mawk teng aw,","Grandmother's food, oh,",အဘွားရဲ့ အစားအစာလေးကို၊
Zu in va in tu diamdiam.,Go drink wine and sit quietly.,သွားပြီး အရက်သောက်၊ ငြိမ်ငြိမ်လေးထိုင်ပါ။
SINNA 18,Lesson 18,သင်ခန်းစာ ၁၈
Ka ton khawm liailiai uh hi.,We go together hand in hand.,ငါတို့ အတူတူ သွားကြတယ်။
Akno a ham ciauciau hi.,The chick chirps constantly.,ကြက်ပေါက်စ တွတ်တွတ် မြည်တယ်။
La a sa khawm ziaiziai uh hi.,They sing songs together continuously.,သူတို့ အတူတူ သီချင်းဆိုကြတယ်။
Huih dam a nung hiauhiau hi.,A gentle breeze blows softly.,လေညင်းလေး သာသာ တိုက်တယ်။
Kamsia sial líau kici hi.,Paying a fine for bad words is called 'sial liau'.,မကောင်းတဲ့စကားအတွက် ဒဏ်ကြေးပေးတာကို 'sial liau' လို့ခေါ်တယ်။
Laileng a kia suk diaidiai hi.,The kite flies down slowly.,စွန်က ဖြည်းဖြည်းချင်း ကျဆင်းလာတယ်။
Phiaukawi in buh a at hi.,The curved sickle reaps the paddy.,တံစဉ်ကောက်နဲ့ စပါးရိတ်တယ်။
Gunpiau zangah leibe kiciing hi.,Beans are planted on the riverbank plain.,မြစ်ကမ်းစပ် မြေပြန့်မှာ ပဲစိုက်တယ်။
A han la sak ka gal zak ciaiciai hi.,I hear their loud singing from afar.,သူတို့ ကျယ်လောင်စွာ သီချင်းဆိုနေတာကို အဝေးကနေ ငါကြားရတယ်။
"Khua khal ta a, tui a kiam hiaihiai hi.","The dry season has come, and the water is slowly receding.",နွေရာသီ ရောက်လာပြီး ရေတွေ ဖြည်းဖြည်းချင်း ကျသွားတယ်။
SINNA 19 - NAUPANG LE UIPHUK TANGTHU,Lesson 19 - The Story of the Children and the Frogs,သင်ခန်းစာ ၁၉ - ကလေးများနှင့် ဖား ပုံပြင်
"Khatvei, naupangte bualtui gei khatah a mawl uh hi.","Once, children were playing near a puddle.",တစ်ခါတုန်းက၊ ကလေးတွေ ရေအိုင်နားမှာ ကစားနေကြတယ်။
Tua bual sungah uiphuk tampi a om hi.,There were many frogs in that puddle.,အဲဒီရေအိုင်ထဲမှာ ဖားတွေ အများကြီး ရှိတယ်။
Tua uiphukte a ham uh hi.,The frogs were croaking.,အဲဒီဖားတွေက အော်နေကြတယ်။
Naupangte in uiphuk ham a zak uh ciangin tui sung suangin a deng uh hi.,"When the children heard the frogs croaking, they threw stones into the water.",ကလေးတွေက ဖားအော်သံကို ကြားတဲ့အခါ ရေထဲကို ခဲလုံးတွေနဲ့ ပစ်ပေါက်ကြတယ်။
Suangin a den' uh ciangin uiphuk tampi a khalum uh hi.,"By throwing stones, they killed many frogs.",ခဲလုံးနဲ့ ပစ်ပေါက်တဲ့အတွက် ဖားတွေ အများကြီး သေကုန်တယ်။
"Tua ciangin uiphuk mangpa in, 'Suangin hong deng kei un,' a ci hi.","Then the frog king said, 'Do not throw stones at us.'",အဲဒီအခါ ဖားဘုရင်က 'ခဲနဲ့ မပေါက်ပါနဲ့' လို့ ပြောတယ်။
"Naupangte in, 'Ka mawlna uh hi,' a ci uh hi.","The children said, 'It is our play.'",ကလေးတွေက 'ဒါ ငါတို့ကစားတာပါ' လို့ ပြောတယ်။
"Tua ciangin uiphuk mangpa in, 'Nau-pangte aw, mi dangte heh nading le a sih nadingin kimawl kei un. Saipi-in kel mawlpih leh kelin a thuak zo kei ding hi,' a cih khit ciangin tui sungah a lut suk hi.","Then the frog king said, 'Oh children, do not play in a way that causes anger and death to others. If an elephant plays with a goat, the goat cannot endure it,' and after saying this, he went down into the water.",အဲဒီအခါ ဖားဘုရင်က 'ကလေးတို့၊ တခြားသူတွေ ဒေါသထွက်စေဖို့နဲ့ သေစေဖို့ မကစားကြပါနဲ့။ ဆင်က ဆိတ်နဲ့ ကစားရင် ဆိတ်က ခံနိုင်မှာ မဟုတ်ဘူး' လို့ ပြောပြီး ရေထဲ ဆင်းသွားတယ်။
SINNA 20 - SUMKUANG LE BILPI TANGTHU,Lesson 20 - The Story of the Snail and the Rabbit,သင်ခန်းစာ ၂၀ - ခရုနှင့် ယုန် ပုံပြင်
"Nikhat, bilpi le sumkuang khat a kimu uh hi.","One day, a rabbit and a snail met.",တစ်နေ့တွင် ယုန်နှင့် ခရုတို့ တွေ့ဆုံကြတယ်။
"Bilpi-in, 'Lawm sumkuang aw, lampai na hat kei hi,' ci-in a zahko hi.","The rabbit mocked, 'Friend snail, you are not fast at walking.'",ယုန်က 'သူငယ်ချင်း ခရု၊ မင်း လမ်းလျှောက်တာ မမြန်ဘူးနော်' ဟု လှောင်ပြောင်ခဲ့တယ်။
"Sumkuang in, 'Tai kidem ni, ke'n nang hong kihta ke'ng,' a ci hi.","The snail said, 'Let's have a running race, I am not afraid of you.'",ခရုက 'အပြေးပြိုင်ရအောင်၊ ငါ မင်းကို မကြောက်ဘူး' ဟု ပြောတယ်။
"Bilpi-in, 'Kidem mah ve ni e,' a ci hi.","The rabbit said, 'Let's indeed race.'",ယုန်က 'ပြိုင်ကြတာပေါ့' ဟု ပြောတယ်။
A zingciangin bilpi le sumkuang tai a kidem uh hi.,"The next morning, the rabbit and the snail raced.",နောက်တစ်နေ့ မနက်တွင် ယုန်နှင့် ခရုတို့ အပြေးပြိုင်ကြတယ်။
Bilpi manlang takin a tai hi. Sumkuang ahi leh khawl loin damdamin a pai hi.,"The rabbit ran very fast. As for the snail, he went slowly without stopping.",ယုန်သည် အလွန်မြန်မြန် ပြေးသွားတယ်။ ခရုကတော့ မရပ်မနား ဖြည်းဖြည်းချင်း သွားတယ်။
Lopa pona khatah bilpi a tun ciangin sumkuang ngak dingin tawlkhat a ihmu hi.,"When the rabbit reached a grassy area, he slept for a while to wait for the snail.",ယုန်သည် မြက်ခင်းပြင်သို့ ရောက်သောအခါ ခရုကို စောင့်ရန် ခဏအိပ်လိုက်တယ်။
A khanlawh ciangin manlang takin a taikik hi. Ahi hangin sumkuang a kiciamna mun uh a na tung zo hi.,"When he woke up, he ran quickly again. However, the snail had already reached their agreed destination.",သူ နိုးလာသောအခါ အမြန်ပြန်ပြေးတယ်။ သို့သော် ခရုသည် သူတို့သဘောတူထားသော နေရာသို့ ရောက်နေပြီ ဖြစ်တယ်။
Tua mah tawh kibangin thanuamte in thadahte a zozaw tawntung uh hi.,"Similarly, the diligent always win over the lazy.",အလားတူပင်၊ ဝီရိယရှိသူများသည် ပျင်းရိသူများကို အမြဲ အနိုင်ရလေ့ရှိတယ်။
Bilpi le sumkuang tai kidemna na ciamteh un.,Take note of the rabbit and snail's race.,ယုန်နှင့် ခရုတို့၏ အပြေးပြိုင်ပွဲကို မှတ်သားထားပါ။
Bilpi a hat mahmah hangin a thadah hi. Sumkuang ahi leh a hatloh hangin a hahkat hi.,"Although the rabbit is very fast, he is lazy. As for the snail, although he is not fast, he is diligent.",ယုန်သည် အလွန်မြန်သော်လည်း ပျင်းရိတယ်။ ခရုကတော့ မမြန်သော်လည်း ကြိုးစားတယ်။
Sumkuang sangin bilpi nakpi-in a hatzaw hi. Ahi hangin sumkuang in a zo hi.,"The rabbit is much faster than the snail. However, the snail won.",ယုန်သည် ခရုထက် အများကြီး ပိုမြန်တယ်။ သို့သော် ခရုက အနိုင်ရခဲ့တယ်။
SINNA 21 - NAUPANG LE BELPI THU,Lesson 21 - The Story of the Child and the Pot,သင်ခန်းစာ ၂၁ - ကလေးနှင့် အိုးကြီး ပုံပြင်
"Khatvei, naupang khatin belpi gong-gek khat a mu hi.","Once, a child saw a narrow-necked pot.",တစ်ခါတုန်းက ကလေးတစ်ယောက် လည်ပင်းကျဉ်းတဲ့ အိုးတစ်လုံးကို တွေ့တယ်။
Tua belpi sungah hai min pum sagih a om hi.,"Inside that pot, there were seven ripe mangoes.",အဲဒီအိုးထဲမှာ သရက်သီးမှည့် ခုနစ်လုံး ရှိတယ်။
Naupangin bel sung sawkin hai min a la hi.,The child reached into the pot and took the ripe mangoes.,ကလေးက အိုးထဲ လက်နှိုက်ပြီး သရက်သီးမှည့်ကို ယူတယ်။
Lak khatin pum nih la ahi manin belgongah a khut a thawl zo kei hi.,"Because he took two mangoes at a time, his hand could not get through the pot's neck.",တစ်ကြိမ်တည်း နှစ်လုံးယူတဲ့အတွက် သူ့လက်က အိုးလည်ပင်းကနေ ထွက်မလာနိုင်ဘူး။
"Tua ciangin a kiang a, dingpa in, 'Hai pum nih a, na lak leh na khut a thawl zo kei ding hi, Pum khat khatin la leteh a thawl zo bek ding hi,' ci-in a hilh hi.","Then a man standing nearby told him, 'If you take two mangoes, your hand will not be able to get out. If you take them one by one, it will come out.'",အဲဒီအခါ အနားမှာရပ်နေတဲ့ လူတစ်ယောက်က 'သရက်သီး နှစ်လုံးယူရင် မင်းလက် ထွက်လာနိုင်မှာ မဟုတ်ဘူး။ တစ်လုံးချင်း ယူမှ ထွက်လာနိုင်မယ်' လို့ ပြောပြတယ်။
"Tua mipa cih bangin naupangin pum khat khatin la a, a vekpi-in a lakhin thei hi. Tua naupangin a kiang a, dingpa cih bangin la kei leh khatbeek la thei loin, haimin a nekha kei ding hi.","Following that man's advice, the child took them one by one and could take them all out. If that child hadn't followed the advice of the man standing nearby, he wouldn't have been able to take even one and wouldn't have eaten the ripe mangoes.",အဲဒီလူ ပြောတဲ့အတိုင်း ကလေးက တစ်လုံးချင်းယူတော့ အကုန်လုံးကို ထုတ်ယူနိုင်သွားတယ်။ အဲဒီကလေးသာ အနားမှာရပ်နေတဲ့ လူပြောတဲ့အတိုင်း မလုပ်ဘူးဆိုရင် တစ်လုံးမှ ယူနိုင်မှာမဟုတ်ဘဲ သရက်သီးမှည့်ကို စားရမှာ မဟုတ်ဘူး။
SINNA 22 - KEIVOM LE TUUNO TANGTHU,Lesson 22 - The Story of the Bear and the Lamb,သင်ခန်းစာ ၂၂ - ဝက်ဝံနှင့် သိုးကလေး ပုံပြင်
Khatvei keivom khatin lui khatah tui a dawn leh tuuno khat a vapai hi.,"Once, a bear was drinking water in a river and a lamb came.",တစ်ခါတုန်းက မြစ်တစ်ခုမှာ ဝက်ဝံတစ်ကောင် ရေသောက်နေတုန်း သိုးကလေးတစ်ကောင် ရောက်လာတယ်။
"Keivomin, 'Heih, tuuno, ka tuidawn lai hong nin sak ke'n,' a ci hi.","The bear said, 'Hey, lamb, don't make my drinking water dirty.'",ဝက်ဝံက 'ဟေ့ သိုးကလေး၊ ငါ သောက်မယ့်ရေကို မညစ်ပတ်စေနဲ့' လို့ ပြောတယ်။
"Tuuno in, 'Topa aw, na tuidawn ka ninsak kei hi. Nang' kiang pan kei' kiang lamah tui hong luang suk zaw hi,' a ci hi.","The lamb said, 'My lord, I am not making your drinking water dirty. The water flows down from your side to my side.'",သိုးကလေးက 'သခင်၊ သင့်ရေကို ကျွန်တော် မညစ်ပတ်စေပါဘူး။ ရေက သင့်ဘက်ကနေ ကျွန်တော့်ဘက်ကို စီးကျလာတာပါ' လို့ ပြောတယ်။
"Keivom in, 'Himah hi, ahi hangin nikum in kei nong zah ko a, nong bawlsia hi. Tu in nang kong keilum ding hi,' a ci hi.","The bear said, 'That is true, but last year you mocked me and insulted me. Now I will bite you to death.'",ဝက်ဝံက 'ဒါမှန်တယ်၊ ဒါပေမယ့် မနှစ်က မင်း ငါ့ကို လှောင်ပြောင်ပြီး စော်ကားခဲ့တယ်။ အခု မင်းကို ငါကိုက်သတ်မယ်' လို့ ပြောတယ်။
"Tuuno in, 'Topa aw, nikumin kei ka suak nai kei hi. Ka suahzawh kumkhat a pha nai kei hi,' a ci hi.","The lamb said, 'My lord, I was not even born last year. I am not even one year old yet.'",သိုးကလေးက 'သခင်၊ မနှစ်က ကျွန်တော် မမွေးသေးပါဘူး။ ကျွန်တော် မွေးတာ တစ်နှစ်တောင် မပြည့်သေးပါဘူး' လို့ ပြောတယ်။
"Keivomin, 'Nang na hi kei leh na pa hiding hi,' ci-in tuuno keilumin a ne hi.","The bear said, 'If it was not you, it must have been your father,' and he bit the lamb to death and ate it.",ဝက်ဝံက 'မင်းမဟုတ်ရင် မင်းအဖေ ဖြစ်ရမယ်' လို့ပြောပြီး သိုးကလေးကို ကိုက်သတ်စားလိုက်တယ်။
"I mawhna hong zong nuamte, i kisut, i ki-phel hangin noptuamna om lo hi.","To those who want to find fault with us, even if we explain and justify ourselves, it is of no use.",ကျွန်ုပ်တို့ရဲ့ အပြစ်ကို ရှာချင်သူတွေအတွက် ကျွန်ုပ်တို့ ရှင်းပြ၊ ဖြေရှင်းပေမယ့် အကျိုးမရှိပါဘူး။
SINNA 23 - A THUMANG NAUPANG TANGTHU,Lesson 23 - The Story of the Obedient Child,သင်ခန်းစာ ၂၃ - စကားနားထောင်သော ကလေး ပုံပြင်
"Lian Za Mung in amah sanga, a u zawte a zahtak hi.",Lian Za Mung respects those who are older than him.,လျန်ဇမုန်သည် သူ့ထက် အသက်ကြီးသူများကို ရိုသေလေးစားတယ်။
"Nikhat, tuikhuk kiangah a kimawl hi.","One day, he was playing near a well.",တစ်နေ့တွင် သူသည် ရေတွင်းနားမှာ ကစားနေတယ်။
"Tua tuikhuk kiangah Pau Za Mung vapai a, Lian Za Mung tuisuakin a sawl hi.",Pau Za Mung came to that well and asked Lian Za Mung to draw water.,ပေါင်ဇမုန်သည် ထိုရေတွင်းနားသို့ လာပြီး လျန်ဇမုန်ကို ရေခပ်ခိုင်းတယ်။
Lian Za Mung in tuisuakin a pia hi.,Lian Za Mung drew water and gave it to him.,လျန်ဇမုန်သည် ရေခပ်ပေးခဲ့တယ်။
"Pau Za Mung in tui a dawnkhit ciangin, 'Ka lungdam mahmah hi. Ka thu hong mang na hi manin ka nuam hi. A thumang naupang na hi hi,' ci-in a phat hi.","After Pau Za Mung drank the water, he praised him saying, 'I am very happy. I am glad because you listened to me. You are an obedient child.'",ပေါင်ဇမုန်က ရေသောက်ပြီးနောက် 'ငါ အရမ်းဝမ်းသာတယ်။ ငါ့စကား နားထောင်လို့ ငါ ပျော်တယ်။ မင်းက စကားနားထောင်တဲ့ ကလေးပဲ' လို့ ချီးမွမ်းတယ်။
"Tua khit ciangin, 'Na hau mahmah inla, na ci, na lu damta hen.Kum sawtpi na nungta in,'ci-in thupha a pia hi.","After that, he gave a blessing, 'May you be very wealthy, and may you be healthy. May you live a long life.'",အဲဒီနောက် 'မင်း အရမ်းချမ်းသာပြီး ကျန်းမာပါစေ။ သက်တမ်းရှည်စွာ နေရပါစေ' လို့ ကောင်းချီးပေးတယ်။
"Ei sanga, uzawte le i pate zahtakin a thu uh mang lehang i tungah thupha hong tung in i khan a sawt ding hi.","If we respect and obey our elders and parents, blessings will come upon us and our lives will be long.",ကျွန်ုပ်တို့ထက် အသက်ကြီးသူများနဲ့ မိဘများကို ရိုသေလေးစားပြီး စကားနားထောင်ရင် ကျွန်ုပ်တို့အပေါ် ကောင်းချီးရောက်လာပြီး အသက်ရှည်လိမ့်မယ်။
"Eite in zong Lian Za Mung bangin ei sang a, u zawte le i pate zahtakin a thu uh i mang ding hi.","We too, like Lian Za Mung, should respect our elders and parents and obey them.",ကျွန်ုပ်တို့လည်း လျန်ဇမုန်လိုပဲ မိမိထက် အသက်ကြီးသူများနဲ့ မိဘများကို ရိုသေလေးစားပြီး သူတို့စကားကို နားထောင်သင့်တယ်။
SINNA 24 - KAUPHE LEH MIKSI TANGTHU,Lesson 24 - The Story of the Grasshopper and the Ant,သင်ခန်းစာ ၂၄ - နှံကောင်နှင့် ပုရွက်ဆိတ် ပုံပြင်
"Miksi khatin antuah a, a kua sungah a tum, kauphe khatin a mu hi.","An ant was carrying food into its hole, and a grasshopper saw it.",ပုရွက်ဆိတ်တစ်ကောင်က အစာသယ်ပြီး သူ့တွင်းထဲ ဝင်သွားတာကို နှံကောင်တစ်ကောင် တွေ့တယ်။
"Kauphe in, 'Lawm miksi aw, banghangin na sem na hi hiam? Kei mawl bangin kimawl ni.' ci-in a zol hi.","The grasshopper coaxed, 'Friend ant, why are you working? Let's play like I am playing.'",နှံကောင်က 'သူငယ်ချင်း ပုရွက်ဆိတ်၊ ဘာလို့ အလုပ်လုပ်နေတာလဲ။ ငါကစားသလို လာကစားရအောင်' လို့ မြှူဆွယ်တယ်။
"Miksi in, 'Ke'n phalbi ciang a, ka neek ding an ka khol hi. Kei ka mawl man kei ding hi,' a ci hi.","The ant said, 'I am storing food to eat in the winter. I don't have time to play.'",ပုရွက်ဆိတ်က 'ငါက ဆောင်းရာသီမှာ စားဖို့ အစာ စုဆောင်းနေတာ။ ငါ ကစားဖို့ အချိန်မရှိဘူး' လို့ ပြောတယ်။
Phalbi ciangin miksi in anneek ding tampi a nei hi. Ahi hangin kauphe in tangkhat zong a nei kei hi.,"In winter, the ant had plenty of food to eat. But the grasshopper did not even have a single grain.",ဆောင်းရာသီရောက်တော့ ပုရွက်ဆိတ်မှာ စားစရာ အများကြီး ရှိတယ်။ ဒါပေမယ့် နှံကောင်မှာ တစ်စေ့မှ မရှိဘူး။
"Tua ciangin miksi kiangah kauphe vapai a, 'Lawm miksi aw, na an tawmkha beek hong hawm zolo ding na hi hiam?,' ci-in a ngen hi.","Then the grasshopper went to the ant and begged, 'Friend ant, can't you share a little bit of your food with me?'",အဲဒီအခါ နှံကောင်က ပုရွက်ဆိတ်ဆီ သွားပြီး 'သူငယ်ချင်း ပုရွက်ဆိတ်၊ မင်းရဲ့ အစာ နည်းနည်းလောက် ငါ့ကို မဝေပေးနိုင်ဘူးလား' လို့ တောင်းပန်တယ်။
"Miksi-in 'Nang kong piak ding le kei neek ding a kicing kei ding hi. Nang na mawlmawl ta in. Mawlmawl lecin na gil a vah ding hi,' a cihsan hi.","The ant replied, 'There won't be enough to give you and for me to eat. You just keep playing. Playing will fill your stomach.'",ပုရွက်ဆိတ်က 'မင်းကို ပေးဖို့နဲ့ ငါစားဖို့ လုံလောက်မှာ မဟုတ်ဘူး။ မင်း ကစားပဲ ကစားနေလိုက်။ ကစားရင် မင်း ဗိုက်ဝလိမ့်မယ်' လို့ ပြန်ပြောလိုက်တယ်။
"Kauphe le miksi tangthu na ngaihsun in. Thadah kei inla, a hunlap in nakpi-in hahkatin nasem in.","Reflect on the story of the grasshopper and the ant. Do not be lazy, and work very diligently in time.",နှံကောင်နဲ့ ပုရွက်ဆိတ် ပုံပြင်ကို စဉ်းစားပါ။ မပျင်းရိပါနဲ့၊ အချိန်မီ ကြိုးကြိုးစားစား အလုပ်လုပ်ပါ။
SINNA 25 - KHAMTHEIH GUIHTHEIHTE,Lesson 25 - Intoxicants and Narcotics,သင်ခန်းစာ ၂၅ - မူးယစ်ဆေးဝါးနှင့် အရက်သေစာ
"Leitungah nektheih dawntheih tampi a om hi. Tua nate lakah pumpi noptuamna a pia thei a om hi. Tua mah bangin siatna a pia thei zong a om hi. Pumpi a siasak theite: Beng, kanza, zu, zatep tuibuk le dummuamte ahi hi. Hih nate a zang khate a zongsang baih mahmah hi. A zongsang sate a ki-deek kik nading a haksa mahmah hi.","There are many things to eat and drink in the world. Among them, there are things that give benefit to the body. Similarly, there are things that can cause harm. Things that ruin the body are: Opium, marijuana, alcohol, smoking tobacco, and chewing tobacco. Those who use these things get addicted very easily. For those who are addicted, it is very difficult to abstain from them again.",ကမ္ဘာပေါ်မှာ စားစရာ သောက်စရာတွေ အများကြီး ရှိတယ်။ အဲဒီအထဲမှာ ခန္ဓာကိုယ်ကို အကျိုးပြုတဲ့ အရာတွေ ရှိတယ်။ အလားတူပဲ၊ အန္တရာယ်ဖြစ်စေတဲ့ အရာတွေလည်း ရှိတယ်။ ခန္ဓာကိုယ်ကို ပျက်စီးစေတဲ့အရာတွေကတော့- ဘိန်း၊ ကഞ്ചာ၊ အရက်၊ ဆေးလိပ်နဲ့ ကွမ်းစားဆေး တွေဖြစ်တယ်။ ဒီအရာတွေကို သုံးစွဲသူတွေက အရမ်း အလွယ်တကူ စွဲလမ်းသွားတယ်။ စွဲလမ်းသွားသူတွေအတွက် ပြန်လည် ဖြတ်တောက်ဖို့ အရမ်း ခက်ခဲတယ်။
Tua ahi ciangin a zongsa mite in sum tampi a bei uh hi. Sum tampi a bei leh a zawnlawh ding uh hi. A zawnlawh leh a guta ding uh hi. Gutate a zumhuai hi.,"Because of that, addicted people spend a lot of money. If they spend a lot of money, they will become poor. If they become poor, they will steal. Thieves are shameful.",ဒါကြောင့်မို့ စွဲလမ်းသူတွေဟာ ငွေကုန်ကြေးကျ များတယ်။ ငွေကုန်ကြေးကျ များရင် ဆင်းရဲသွားလိမ့်မယ်။ ဆင်းရဲသွားရင် ခိုးဝှက်လိမ့်မယ်။ သူခိုးတွေဟာ ရှက်စရာကောင်းတယ်။
